age,annual_income,num_bank_accounts,num_credit_cards,interest_rate,num_loans,delay_from_due_date_days,num_delayed_payments,credit_card_utilization,credit_history_age_months,outstanding_debt,debt_to_income_ratio,credit_score_class
56,143439.45,5,2,11.89,6,1,5,0.4456,106,7721.5,5.38,2
69,96217.6,8,11,12.19,6,0,7,0.072,92,11054.42,11.49,2
46,125590.5,1,2,16.18,5,4,1,0.1976,358,15479.98,12.33,2
32,134367.87,7,6,11.91,5,2,4,0.8967,89,9659.5,7.19,1
60,45790.77,5,6,21.83,3,2,0,0.5703,266,16253.99,35.5,1
25,43626.05,4,11,9.03,2,3,4,0.775,226,533.96,1.22,2
38,97482.43,7,11,14.61,4,2,6,0.4879,159,7584.14,7.78,1
56,70488.84,2,8,32.4,2,4,2,0.8013,56,29172.86,41.39,0
36,128381.28,1,11,17.28,1,0,2,0.5351,43,14589.17,11.36,1
40,136503.12,1,2,27.45,0,17,3,0.0541,264,22346.92,16.37,2
28,62711.89,1,9,8.4,0,12,2,0.8597,192,8283.62,13.21,1
28,46977.53,5,2,12.43,5,13,7,0.1837,18,22815.78,48.57,0
41,120370.94,7,1,29.22,4,2,2,0.4555,228,34999.09,29.08,2
53,52098.81,2,10,27.89,2,3,4,0.479,92,20916.01,40.15,0
57,126052.93,8,2,16.58,5,15,3,0.0925,264,22066.88,17.51,2
41,72204.66,4,7,33.63,3,11,2,0.0978,186,4080.89,5.65,1
20,105119.24,3,8,32.32,5,7,3,0.7363,316,14237.68,13.54,1
39,27897.27,8,5,33.87,3,2,2,0.3204,178,30153.23,108.09,0
19,99221.01,2,6,17.84,3,4,1,0.4187,327,29232.66,29.46,1
41,75988.64,3,1,10.92,1,7,3,0.5577,200,18379.49,24.19,1
61,94192.14,3,6,23.8,1,1,3,0.386,345,31640.2,33.59,2
47,37681.92,1,8,25.54,3,4,0,0.7475,250,5174.21,13.73,0
55,114477.96,6,3,8.76,7,8,2,0.846,334,23104.99,20.18,2
19,131477.61,2,11,28.59,4,6,3,0.1037,201,8861.15,6.74,2
38,44259.87,1,1,5.54,1,3,1,0.6219,67,22665.54,51.21,0
50,27921.46,2,11,19.48,1,4,2,0.3359,30,3241.51,11.61,0
29,18191.21,6,4,14.93,0,22,5,0.5749,57,33037.6,181.61,0
39,101666.15,4,1,27.21,5,4,4,0.4855,55,27564.35,27.11,0
61,96957.69,6,8,14.38,0,7,2,0.3503,300,7193.46,7.42,2
42,88804.15,9,5,29.8,4,6,3,0.1353,57,22377.22,25.2,0
66,46312.86,8,1,22.85,1,6,2,0.5535,337,26618.27,57.47,1
44,67772.31,1,8,28.82,6,6,2,0.1515,45,7488.71,11.05,0
59,95254.31,8,9,34.68,7,3,6,0.1905,237,3447.89,3.62,1
45,82063.53,9,10,25.37,1,3,2,0.934,65,12441.94,15.16,0
33,148351.05,6,2,34.55,2,3,3,0.335,221,4924.25,3.32,2
32,33419.37,5,9,5.87,4,0,2,0.576,345,19886.77,59.51,1
64,108844.51,6,8,15.14,6,1,3,0.295,202,14959.2,13.74,2
68,69583.03,6,7,8.24,5,0,4,0.829,281,16292.37,23.41,2
61,72806.95,9,3,12.87,5,10,1,0.305,346,19091.65,26.22,2
69,111875.7,4,2,30.17,6,1,2,0.3802,7,34375.41,30.73,1
20,108478.88,2,7,5.97,5,0,6,0.5975,111,27783.72,25.61,1
54,148819.56,9,5,20.61,7,0,1,0.833,221,22105.61,14.85,2
68,32333.23,2,6,22.01,6,6,1,0.7846,270,12856.96,39.76,0
24,29054.8,9,4,21.83,4,0,3,0.2875,172,1142.01,3.93,1
38,112785.74,2,2,19.26,6,3,3,0.7966,252,4255.16,3.77,2
26,93082.23,8,9,28.72,6,0,1,0.6811,215,25634.18,27.54,1
56,52011.69,9,3,9.01,2,9,2,0.9408,63,13048.3,25.09,0
35,25721.61,9,7,14.32,2,15,2,0.8919,48,11838.42,46.03,0
21,26563.86,9,8,23.47,0,15,3,0.5298,143,31136.45,117.21,0
42,135715.77,2,2,25.73,4,2,4,0.7249,114,17060.91,12.57,1
31,40902.09,4,6,17.12,4,5,2,0.5632,53,31505.28,77.03,0
67,58655.16,7,11,31.26,2,4,4,0.5855,131,31055.02,52.95,0
26,45598.61,2,8,17.46,3,2,4,0.1414,219,2990.31,6.56,2
43,62924.5,1,7,17.08,3,2,4,0.052,133,33098.63,52.6,1
19,24372.22,3,11,6.09,0,0,5,0.0934,203,2878.03,11.81,2
37,85073.07,4,3,21.53,7,7,4,0.92,207,33730.01,39.65,0
45,24127.7,8,1,26.26,3,1,5,0.1636,197,15951.0,66.11,1
